2021-02-24 16:02:55.372481,Btn2,2021-02-24 16:02:54.804427,2021-02-24 16:02:54.804427,2021-02-24 16:02:55.136866,2021-02-24 16:02:55.299111,True
2021-02-24 16:02:58.839923,Btn1,2021-02-24 16:02:58.330841,2021-02-24 16:02:58.330841,2021-02-24 16:02:58.516876,2021-02-24 16:02:58.799779,True
2021-02-24 16:03:02.353239,Btn2,2021-02-24 16:03:01.752342,2021-02-24 16:03:01.752342,2021-02-24 16:03:02.002606,2021-02-24 16:03:02.300016,True
2021-02-24 16:03:05.747518,Btn1,2021-02-24 16:03:05.240920,2021-02-24 16:03:05.240920,2021-02-24 16:03:05.454659,2021-02-24 16:03:05.698682,True
2021-02-24 16:03:09.246322,Btn2,2021-02-24 16:03:08.720300,2021-02-24 16:03:08.720300,2021-02-24 16:03:08.996902,2021-02-24 16:03:09.200200,True
2021-02-24 16:03:12.753658,Btn1,2021-02-24 16:03:12.232145,2021-02-24 16:03:12.232145,2021-02-24 16:03:12.473108,2021-02-24 16:03:12.699417,True
2021-02-24 16:03:16.133546,Btn2,2021-02-24 16:03:15.636863,2021-02-24 16:03:15.636863,2021-02-24 16:03:15.837842,2021-02-24 16:03:16.097763,True
2021-02-24 16:03:19.642992,Btn1,2021-02-24 16:03:19.081599,2021-02-24 16:03:19.081599,2021-02-24 16:03:19.328920,2021-02-24 16:03:19.599828,True
2021-02-24 16:03:23.149742,Btn2,2021-02-24 16:03:22.521668,2021-02-24 16:03:22.521668,2021-02-24 16:03:22.760012,2021-02-24 16:03:23.100750,True
2021-02-24 16:03:26.539944,Btn1,2021-02-24 16:03:26.000869,2021-02-24 16:03:26.000869,2021-02-24 16:03:26.276900,2021-02-24 16:03:26.499750,True
2021-02-24 16:03:30.043158,Btn2,2021-02-24 16:03:29.464918,2021-02-24 16:03:29.464918,2021-02-24 16:03:29.711515,2021-02-24 16:03:29.999226,True
2021-02-24 16:03:33.435495,Btn1,2021-02-24 16:03:32.904628,2021-02-24 16:03:32.904628,2021-02-24 16:03:33.137380,2021-02-24 16:03:33.399308,True
2021-02-24 16:03:36.940039,Btn2,2021-02-24 16:03:36.397939,2021-02-24 16:03:36.397939,2021-02-24 16:03:36.623551,2021-02-24 16:03:36.899937,True
2021-02-24 16:03:40.336391,Btn1,2021-02-24 16:03:39.963148,2021-02-24 16:03:39.963148,2021-02-24 16:03:40.091780,2021-02-24 16:03:40.299907,True
2021-02-24 16:03:43.841344,Btn2,2021-02-24 16:03:43.316919,2021-02-24 16:03:43.316919,2021-02-24 16:03:43.602735,2021-02-24 16:03:43.798098,True
2021-02-24 16:03:47.245893,Btn1,2021-02-24 16:03:46.784237,2021-02-24 16:03:46.784237,2021-02-24 16:03:46.996868,2021-02-24 16:03:47.197419,True
2021-02-24 16:03:50.752576,Btn2,2021-02-24 16:03:50.232899,2021-02-24 16:03:50.232899,2021-02-24 16:03:50.488920,2021-02-24 16:03:50.698709,True
2021-02-24 16:03:54.256063,Btn1,2021-02-24 16:03:53.696907,2021-02-24 16:03:53.696907,2021-02-24 16:03:53.890046,2021-02-24 16:03:54.207876,True
2021-02-24 16:03:57.647776,Btn2,2021-02-24 16:03:57.181378,2021-02-24 16:03:57.181378,2021-02-24 16:03:57.416877,2021-02-24 16:03:57.598905,True
2021-02-24 16:04:01.147738,Btn1,2021-02-24 16:04:00.640862,2021-02-24 16:04:00.640862,2021-02-24 16:04:00.829560,2021-02-24 16:04:01.098685,True
2021-02-24 16:04:04.631686,Btn2,2021-02-24 16:04:04.081735,2021-02-24 16:04:04.081735,2021-02-24 16:04:04.315123,2021-02-24 16:04:04.602263,True
2021-02-24 16:04:08.032915,Btn1,2021-02-24 16:04:07.523265,2021-02-24 16:04:07.523265,2021-02-24 16:04:07.745025,2021-02-24 16:04:08.001154,True
2021-02-24 16:04:11.537218,Btn2,2021-02-24 16:04:10.998330,2021-02-24 16:04:10.998330,2021-02-24 16:04:11.236879,2021-02-24 16:04:11.499101,True
2021-02-24 16:04:14.955728,Btn1,2021-02-24 16:04:14.480877,2021-02-24 16:04:14.480877,2021-02-24 16:04:14.708862,2021-02-24 16:04:14.898085,True
2021-02-24 16:04:18.455988,Btn2,2021-02-24 16:04:17.940919,2021-02-24 16:04:17.940919,2021-02-24 16:04:18.178720,2021-02-24 16:04:18.407032,True
